COD-APPLIC|ENTE|COD-PRESIDIO|ANNO-INIZ-VAL|DESCR-PRESIDIO|COD-COMUNE|DESCR-COMUNE|PROVINCIA|INDIRIZZO|CAP|NR-TELEFONICO|DATA-APERTURA|DATA-CHIUSURA|TIPO-1|TIPO-2|TIPO-3|TIPO-4|S01|S02|S03|S04|S05|S06|S07|S08|S09|S10|S11|PRESIDIO-SPORT|PRESENZA-STS14|RAPPORTO-SSN|INT-EXTRA|PRIV-CONV|COD-IST|OLD-ENTE|OLD-COD-PREST|FLAG-ULT-OP|USER|DATA-ULT-OP|SPECIFICA-S05|LABOR-PUBB|GG-APERTURA|GG-CHIUSURA|S12|EROGANTEAMB
STS-ID|301|003103|2015|CDD DELL'AGRO|016006|ALMENNO SAN BARTOLOMEO|BG|VIA DON MINZONI 6|24030|035540488|199501|000000|||X|||||||||||X||||2|2|2|||||||||01|00||0
STS-ID|301|003303|2015|CASA DI RIPOSO OVIDIO CERRUTI|016051|CAPRIATE SAN GERVASIO|BG|VIA OVIDIO CERRUTI 6|24042|02920011|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|003601|2015|POLICLINICO SAN PIETRO DI ISTITUTI OSPEDALIERI BERGAMASCHI|016170|PONTE SAN PIETRO|BG|VIA FORLANINI 15|24036|035604111|199912|000000|X||||X|X|X|||||||||||2|1|2|030148||||||||01|00||1
STS-ID|301|003701|2015|HABILITA LABORATORIO ANALISI MEDICHE - BONATE SOTTO|016031|BONATE SOTTO|BG|VIA VITTORIO VENETO, 2|24040|035993050|199912|000000|X||||||X||||||||||X|2|2|3|||||||||01|00||1
STS-ID|301|003703|2015|CENTRO DIURNO DISABILI BONATE SOTTO|016031|BONATE SOTTO|BG|VIA GARIBALDI 13|24030|035995106|199501|000000|||X|||||||||||X||||2|2|2|||||||||01|00||0
STS-ID|301|003902|2015|CASA DI RIPOSO NOBILE BAGLIONI|016239|VILLA D'ALME'|BG|VIA MAZZINI 14|24018|035632121|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|004101|2015|TERME DI SANT'OMOBONO|016252|SANT'OMOBONO TERME|BG|VIALE ALLE FONTI,117|24038|035852242|199703|000000||X||||||||||X||||||2|2|2|||||||||01|00||0
STS-ID|301|004301|2015|CASA DI CURA S. FRANCESCO|016024|BERGAMO|BG|VIA IV NOVEMBRE 7|24128|0352811111|199501|000000|X||||X|X|X|||||||||||2|1|4|030146||||||||01|00||1
STS-ID|301|004401|2015|CENTRO BIOMEDICO BERGAMASCO SRL|016024|BERGAMO|BG|ROTONDA DEI MILLE 3/A|24122|035222332|199501|000000|X||||||X||||||||||X|2|2|2|||||||||01|00||1
STS-ID|301|004402|2015|ISTITUZIONE DON CARLO BOTTA - RSA S.CHIARA|016024|BERGAMO|BG|VIA GARIBALDI 5|24122|0353888411|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|004501|2015|CENTRO RADIOL.E FISIOTER.SRL|016115|GORLE|BG|VIA ROMA 28|24020|035290636|199501|000000|X||||X|X|||||||||||X|2|2|2|||||||||01|00||1
STS-ID|301|004601|2015|CLINICA CASTELLI S.P.A.|016024|BERGAMO|BG|VIA MAZZINI 11|24128|035283111|199501|000000|X||||X|X|X|||||||||||2|1|3|030145||||||||01|00||1
STS-ID|301|004701|2015|CASA DI CURA PALAZZOLO|016024|BERGAMO|BG|VIA S. BERNARDINO 56|24122|035389111|199501|000000|X||||X|X|X|||||||||||2|1|4|030144||||||||01|00||1
STS-ID|301|005203|2015|ISTITUTO PALAZZOLO CASA DI RIPOSO|016214|TORRE BOLDONE|BG|VIA DONIZETTI 3|24020|035340160|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|005304|2015|CDD BONSAI BERGAMO|016024|BERGAMO|BG|VIA PIZZO SCAIS, 1/C|24125|035233554|199501|000000|||X|||||||||||X||||2|2|2|||||||||01|00||0
STS-ID|301|005901|2015|SERT BERGAMO|016024|BERGAMO|BG|VIA BORGO PALAZZO, 130|24125|0352270374|199501|000000||X|||X|||||X||||||||1|2|0|||||||||01|00||0
STS-ID|301|005902|2015|NUOVO ALBERGO POPOLARE COMUNITA' TURBO DIESEL|016024|BERGAMO|BG|VIA CARNOVALI 95|24126|035319800|199501|000000||||X||||||X||||||||2|2|2|||||||||01|00||0
STS-ID|301|006101|2015|LABOR.BIOANALITICO DELTA SRL|016024|BERGAMO|BG|VIA C. MAFFEI 14|24121|035221565|199501|000000|X||||||X||||||||||X|2|2|2|||||||||01|00||1
STS-ID|301|006502|2015|FONDAZIONE MADONNA BOLDESICO|016120|GRUMELLO DEL MONTE|BG|VIA L. SIGNORELLI 91/93|24064|035830030|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|006504|2015|R.S.D. ISTITUTO PALAZZOLO  - GRUMELLO|016120|GRUMELLO DEL MONTE|BG|PIAZZA CAMOZZI 15|24064|035830038|199501|000000||||X||||||||||X||||2|2|4|||||||||01|00||0
STS-ID|301|006702|2015|FONDAZIONE PIA FONDAZIONE PICCINELLI- CASA MARIA CONSOLATRICE ONLUS|016194|SCANZOROSCIATE|BG|VIA ADELASIO 5/7|24020|035661023|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|006802|2015|TERME RIUNITE TRESCORE B. SRL|016218|TRESCORE BALNEARIO|BG|VIA GRAMSCI|24069|0354255511|199501|000000||X||||||||||X||||||2|2|2|||||||||01|00||0
STS-ID|301|007201|2015|CENTRO DON ORIONE|016024|BERGAMO|BG|VIA DON ORIONE 6|24124|035348111|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|007301|2015|C.A.R.I.S.M.A.|016024|BERGAMO|BG|VIA GLENO, 49|24125|0354222222|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|007401|2015|CASA DI RIPOSO S. FRANCESCO|016024|BERGAMO|BG|VIA G.NEGRI 17|24128|0352811671|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|007501|2015|C.D.D. BERGAMO|016024|BERGAMO|BG|VIA PIZZO PRESOLANA, 7|24125|035399382|199501|000000|||X|||||||||||X||||2|2|4|||||||||01|00||0
STS-ID|301|007601|2015|ISTITUTO PALAZZOLO RSA SACRO CUORE|016024|BERGAMO|BG|VIA CARNOVALI, 93/A|24126|035314240|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|007901|2015|COMUNITA' EMMAUS|016073|CHIUDUNO|BG|STRADA DEI TERRAGLI|24060|035838054|199501|000000||||X||||||X||||||||2|2|2|||||||||01|00||0
STS-ID|301|007903|2015|COMUNITA' EMMAUS|016073|CHIUDUNO|BG|STRADA DEI TERRAGLI|24060|035838054|199501|000000|||X|||||||X||||||||2|2|2|||||||||01|00||0
STS-ID|301|007905|2015|COMUNITA' EMMAUS - CASA S.MICHELE|016024|BERGAMO|BG|VIA G. MARIENI, 36|24124|035261215|199501|000000||||X|||||||X|||||||2|2|4|||||||||01|00||0
STS-ID|301|008101|2015|CASA DI RIPOSO SAN GIUSEPPE|016114|GORLAGO|BG|VIA ASPERTI 1|24060|0354251158|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|008201|2015|CASA RIPOSO CAPROTTI ZAVARITT|016115|GORLE|BG|VIA ARNO 14|24020|035657070|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|008401|2015|RSA FONDAZIONE PIATTI-VENANZI ONLUS|016157|PALOSCO|BG|VIA S.M.ELISABETTA 36|24064|035845059|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|008501|2015|CASA DI RIPOSO VILLA SERENA|016174|PREDORE|BG|VIA ARRIO MUCIANO 26|24060|035938244|199501|000000||||X|||||||||X|||||2|2|2|||||||||01|00||0
STS-ID|301|008601|2015|CASA DI RIPOSO P.A.FACCANONI ONLUS|016193|SARNICO|BG|VIA VITTORIO VENETO, 72|24067|0354261453|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|008701|2015|FONDAZIONE CASA DI RIPOSO VILLA DELLA PACE|016207|STEZZANO|BG|VIA ZANCHI 10|24040|035591076|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|009001|2015|ISTITUTO OSPITALE MAGRI|016222|URGNANO|BG|VIA CIRCONVALLAZIONE 237|24059|035891166|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|009101|2015|SPORTMAN'S CENTER|016153|OSIO SOTTO|BG|VIA MILANO 23|24046|035881975|199610|000000|X||||X|||||||||||X|X|2|2|2|||||||||01|00||1
STS-ID|301|009201|2015|CENTRO MEDICO  S.LUCA S.R.L|016024|BERGAMO|BG|VIA QUINTO ALPINI 6|24124|035321135|199501|000000|X||||X|||||||||||X|X|2|2|2|||||||||01|00||1
STS-ID|301|009301|2015|ATHAENA POLIAMB. MED.SPORTIVA|016024|BERGAMO|BG|VIA RONZONI 3|24128|035258888|199701|000000|X||||X|||||||||||X|X|2|2|2|||||||||01|00||1
STS-ID|301|009401|2015|POLICLINICO SAN MARCO|016153|OSIO SOTTO|BG|CORSO EUROPA N. 7|24040|035886111|199501|000000|X||||X|X|X||||||||||X|2|1|2|030147||||||||01|00||1
STS-ID|301|009502|2015|FOND.CASA OSPITALE DON PIETRO ARESI ONLUS|016040|BRIGNANO GERA D'ADDA|BG|VIA FACCHINETTI, 2|24053|0363814127|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|009602|2015|CASA ALBERGO MARIA IMMACOLATA ONLUS|016047|CALVENZANO|BG|VIA BRASSOLINO 6|24040|036386130|199501|000000||||X|||||||||X|||||2|2|2|||||||||01|00||0
STS-ID|301|009702|2015|CENTRO DIURNO DISABILI LA GABBIANELLA |016053|CARAVAGGIO|BG|VIA EINAUDI, 48/C|24023|036352533|199501|000000|||X|||||||||||X||||1|2|0|||||||||01|00||0
STS-ID|301|009902|2015|FONDAZIONE OPERA PIA OLMO ONLUS|016153|OSIO SOTTO|BG|VIA CAVOUR 6|24046|035881170|199501|000000||||X|||||||||X|||||2|2|2|||||||||01|00||0
STS-ID|301|010002|2015|FONDAZIONE ANNI SERENI ONLUS|016219|TREVIGLIO|BG|PIAZZALE MENEGUZZO - OSPEDALE 5|24047|036344063|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|010102|2015|RSA CASA MIA VERDELLO|016233|VERDELLO|BG|VIA RICOVERO BROLIS 17|24049|035871959|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|010103|2015|CENTRO DIURNO DISABILI  LA ROSA DEI VENTI DI VERDELLINO|016232|VERDELLINO|BG|VIA DEGLI OLEANDRI, 23|24049|0350700273|199601|000000|||X|||||||||||X||||2|2|2|||||||||01|00||0
STS-ID|301|010104|2015|R.S.D. CASA BEATO LUIGI GUANELLA|016233|VERDELLO|BG|VIA GIAVAZZI 13|24049|035871006|199501|000000||||X||||||||||X||||2|2|4|||||||||01|00||0
STS-ID|301|010201|2015|SERT TREVIGLIO|016219|TREVIGLIO|BG|VIA XXV APRILE N.6|24047|036347725|199501|000000||X|||X|||||X||||||||1|2|0|||||||||01|00||0
STS-ID|301|010302|2015|FONDAZIONE OPERE PIE RIUNITE G.B.RUBINI ONLUS|016183|ROMANO DI LOMBARDIA|BG|VIA COMELLI RUBINI 2|24058|0363910810|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|010403|2015|FONDAZIONE FRANCESCO BALICCO|016133|MARTINENGO|BG|VIA VALLERE 4|24057|0363987388|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|010502|2015|FONDAZIONE RSA VAGLIETTI CORSINI ONLUS|016079|COLOGNO AL SERIO|BG|VICOLO OSPEDALE 2|24055|035896467|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|010602|2015|FONDAZIONE DON CARLO ZANONCELLO|016044|CALCIO|BG|VIA G. MATTEOTTI 2/A|24054|0363906391|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|010801|2015|SERT  MARTINENGO|016133|MARTINENGO|BG|PIAZZA MAGGIORE 11|24057|0363987202|199501|000000||X|||X|||||X||||||||1|2|0|||||||||01|00||0
STS-ID|301|010802|2015|COMUNITA' TERAPEUTICA LA GASPARINA|016183|ROMANO DI LOMBARDIA|BG|VIA DANTE ALIGHIER1 190|24058|0363912755|199501|000000||||X||||||X||||||||2|2|2|||||||||01|00||0
STS-ID|301|011001|2015|CDI- MADONNA DEL BOLDESICO|016120|GRUMELLO DEL MONTE|BG|VIA DOTT. LIBERO SIGNORELLI 91/93|24064|035830030|200311|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011002|2015|C.D.I. FONDAZIONE I.P.S. CARD. GUSMINI ONLUS|016234|VERTOVA|BG|VIA SAN CARLO 30|24029|035737611|200311|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011003|2015|RSA  PAPA GIOVANNI XXIII|016218|TRESCORE BALNEARIO|BG|VIA DAMIANO CHIESA 28|24069|0359491667|200312|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011004|2015|C.D.I. SAN DONATO|016153|OSIO SOTTO|BG|VIA CAVOUR 6/A|24046|0354185433|200312|000000|||X||||||||||X|||||2|2|2|||||||||01|00||0
STS-ID|301|011005|2015|CENTRO DIURNO INTEGRATO -  FONDAZIONE CASA SERENA ONLUS|016038|BREMBATE DI SOPRA|BG|VIA GIOVANNI XXIII, 4|24030|035620120|200311|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011006|2015|C.D.I.- FONDAZIONE HONEGGER|016004|ALBINO|BG|VIA CAPPUCCINI 10|24021|035759411|200312|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011007|2015|CDI "S.ANTONIO"|016178|RANICA|BG|VIA GAVAZZENI 22|24020|035512251|200402|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011008|2015|CDI PAPA GIOVANNI XXIII|016218|TRESCORE BALNEARIO|BG|VIA DAMIANO CHIESA 28|24069|0359491667|200402|000000|||X||||||||||X|||||2|2|2|||||||||01|00||0
STS-ID|301|011009|2015|CDI CASA OSPITALE DON PIETRO ARESI|016040|BRIGNANO GERA D'ADDA|BG|VIA FACCHINETTI 2|24053|0363814127|200402|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011010|2015|CDI MONSIGNOR ALESSANDRO MEZZANOTTI|016219|TREVIGLIO|BG|VIA XXIV MAGGIO 11|24047|0363309560|200402|000000|||X||||||||||X|||||2|2|2|||||||||01|00||0
STS-ID|301|011011|2015|CDI FONDAZIONE SAN GIULIANO|016075|CISERANO|BG|VIA CIRCONVALLAZIONE SUD  121|24040|0354821681|200402|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011012|2015|CDI NUOVA STRUTTURA - C.A.R.I.S.M.A.|016024|BERGAMO|BG|VIA MONTE GLENO 49|24125|0354222222|200405|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011013|2015|CDI OVIDIO CERRUTI|016051|CAPRIATE SAN GERVASIO|BG|VIA CERRUTI 6|24042|02920011|200405|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011014|2015|CDI FONDAZIONE SANT'ANDREA|016077|CLUSONE|BG|VIA S. DEFENDENTE 1|24023|034621078|200405|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011015|2015|CENTRO DIURNO INTEGRATO "SAN VINCENZO"|016093|ENDINE GAIANO|BG|PIAZZA VITTORIO VENETO 3|24060|0358232140|200407|000000|||X||||||||||X|||||2|2|2|||||||||01|00||0
STS-ID|301|011016|2015|CDI ARIOLI DOLCI|016220|TREVIOLO|BG|VIA ARIOLI DOLCI 12/14|24048|0356221200|200601|000000|||X||||||||||X|||||2|2|2|||||||||01|00||0
STS-ID|301|011017|2015|CDI PIATTI-VENANZI-FONDAZIONE ONLUS|016157|PALOSCO|BG|VIA S.M. ELISABETTA, 36|24050|035845059|200608|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011018|2015|C.D.I. SAN GIUSEPPE|016091|DALMINE|BG|VIALE LOCATELLI 6|24044|0350170210|200610|000000|||X||||||||||X|||||2|2|2|||||||||01|00||0
STS-ID|301|011019|2015|C.D.I. FONDAZIONE CASA DI RIPOSO PONTE S. PIETRO ONLUS|016170|PONTE SAN PIETRO|BG|VIA MATTEOTTI, 5|24036|035611055|200612|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011020|2015|CDI FONDAZIONE GIOVANNI CARLO ROTA ONLUS|016007|ALMENNO SAN SALVATORE|BG|VIA REPUBBLICA,1|24031|0356320011|200703|000000|||X||||||||||X|||||2|2|4|||||||||26|00||0
STS-ID|301|011021|2015|CDI FONDAZIONE SERAFINO CUNI|016240|VILLA DI SERIO|BG|PIAZZA EUROPA 2|24020|035657853|200804|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011022|2015|CDI - GRANDE ALBERO|016046|CALUSCO D'ADDA|BG|VIA VOLTA 269|24033|0354389054|200905|000000|||X||||||||||X|||||2|2|4|||||||||20|00||0
STS-ID|301|011023|2015|CDI CAPROTTI ZAVARITT|016115|GORLE|BG|VIA ARNO 14|24020|035657070|200905|000000|||X||||||||||X|||||2|2|4|||||||||29|00||0
STS-ID|301|011024|2015|C.D.I. FONDAZIONE SPADA|016195|SCHILPARIO|BG|VIA SOLIVA 18|24020|034655068|200906|000000|||X||||||||||X|||||2|2|4|||||||||12|00||0
STS-ID|301|011025|2015|CDI ANDREA E MARIA PANZERI|016200|SOLTO COLLINA|BG|VIA SAN DEFENDENTE 26|24060|035986331|200907|000000|||X||||||||||X|||||2|2|4|||||||||02|00||0
STS-ID|301|011026|2015|CDI DON GIOVANNI MARIA MORANDI|016029|BOLTIERE|BG|VICOLO BENAGLIO 6/A|24040|0354810495|201112|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011027|2015|CDI VAGLIETTI CORSINI|016079|COLOGNO AL SERIO|BG|VICOLO OSPEDALE, 2|24055|035896467|201201|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011028|2015|CDI SANDRO PERTINI|016006|ALMENNO SAN BARTOLOMEO|BG|VIA P.SANGALLI, 80|24030|035540976|201201|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|011030|2015|CDI IL CORTILE|016245|ZANICA|BG|VIA PADRE DAVIDE 2|24050|035670789|201407|000000|||X||||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|013001|2015|IL PUNTO MEDICO SPORTIVO|016115|GORLE|BG|VIA DASTE E SPALENGA 28/C|24020|035302799|199701|000000|X||||X|||||||||||X|X|2|2|2|||||||||01|00||1
